CONVENER,DOORS,LOCATION,MUNICIPAL,MUNICIPALITY,START,TIME
Ed Desgrosseilliers,,Auburn Middle School,,AUBURN,,1:00PM
Sarah Hall,,Durham Eureka Community Center,,DURHAM,,2:00PM
Matt Schlobohm and Kate Brennan,,Greene Town Office,,GREENE,,3:00PM
Richard Fochtmann,,Leeds Community Church,,LEEDS,,2:00PM
Richard Grandmaison,,Lewiston High School,,LEWISTON,,1:00PM
Lisa Ward,,Lisbon Town Office,,LISBON,,1:00PM
Robin Beck,,"Spruce Mountain High School, Jay",,LIVERMORE,,3:30PM
Robin Beck,,"Spruce Mountain High School, Jay",,LIVERMORE FALLS,,3:30PM
Jim Bradley,,Mechanic Falls Town Hall,,MECHANIC FALLS,,1:00PM
Tom Reynolds,,Minot Town Hall,,MINOT,,1:30PM
Kim Moody,,Poland Town Office,,POLAND,,2:00PM
Tom Reynolds,,Sabattus Town Hall,,SABATTUS,,3:00PM
Ray Langelier,,Turner Town Office,,TURNER,,4:00PM
Robert English,,Cumston Hall (Theatre) in Monmouth,,WALES,,2:30PM
Colleen McBreairty,,Allagash High School,,ALLAGASH,,2:00 PM
Nason Graham,,Houlton Fire House,,AMITY,,1:00 PM
Shelly Mountain,,Mapleton Town Office,,ASHLAND,,1:00 PM
,,,,BANCROFT,,
Bob Saucier,,Presque Isle Rec. Center,,BLAINE,,1:00 PM
Jim Gerritsen,,Bridgewater Town Office,,BRIDGEWATER,,4:00 PM
Jessica Feeley,,Caribou Wellness Center,,CARIBOU & CONNOR TWP,,2:00 PM
Nason Graham,,Houlton Fire House,,CARY PLT,,1:00 PM
Shelly Mountain,,Mapleton Town Office,,CASTLE HILL,,1:00 PM
Robert Hancock,,Limestone Town Office,,CASWELL,,3:00 PM
Shelly Mountain,,Mapleton Town Office,,CHAPMAN,,1:00 PM
,,,,CROSS LAKE TWP (T17 R5),,
Patrick Hunt,,Hunt Law Office (7 Sherman St Island Falls),,CRYSTAL,,1:00 PM
Anne Roy,,Van Buren Community Center,,CYR PLT,,2:00 PM
Taylor Locke,,Oakfield Community Center,,DYER BROOK,,3:00 PM
Jim Gerritsen,,Bridgewater Town Hall,,E TWP,,2:00 PM
David Parent,,Eagle Lake Municipal Building,,EAGLE LAKE,,1:00 PM
Susan Gold-Leighton,,Fort Fairfield Armory Gym,,EASTON,,1:30 PM
Susan Gold-Leighton,,Fort Fairfield Armory Gym,,FORT FAIRFIELD,,1:30 PM
Roland Collins,,Fort Kent Municipal Building,,FORT KENT,,1:00 PM
Judy Paradis,,Frenchville Community Center,,FRENCHVILLE,,2:00 PM
Shelly Mountain,,Mapleton Town Office,,GARFIELD PLT,,1:00 PM
,,,,GLENWOOD PLT,,
George Dionne,,Grand Isle Town Office,,GRAND ISLE,,4:00 PM
Anne Roy,,Van Buren Community Center,,HAMLIN,,2:00 PM
Nason Graham,,Houlton Fire House,,HAMMOND,,1:00 PM
,,,,HAYNESVILLE,,
